node_id,true_best,tb_fam,top1_business_id,top1_label,hit1,hit3
265c5cbb305397e509abb65475e66c0b,10000294,10000294,1380460970,七牛CDN 1380460970,0,0
268e11312e56b15c2fcfb79594e32625,10000069,10000069,10000304,快手严选 10000304,0,0
26a6e8145c56457d766b16f1f437fded,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
26a7c3580a2218c276a44d36ed016ccd,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
26ad1dc3591d14e47000643af0ccb738,10000281,FQTZV,10000183,B站专线-盒子 10000183,0,0
26d434bd3929facc2586a981cdb8ce63,10000074,10000074,10000244,B站专线-盒子V2 10000244,0,1
26e6778970ebe53d66307dd8a5f85ec8,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
26f0aca6dfcf0c24c72dbc7be72794a6,10000088,10000088,10000244,B站专线-盒子V2 10000244,0,1
273babf9e2efe2a3dfd1382a4124b8c1,10000244,10000244,1382680008,字节CDN专线 1382680008,0,1
2747c163d61e76102a7d873513993adb,10000281,FQTZV,10000096,字节架构专线V3 10000096,0,0
27817f92fa7f009e713c48abc6c90125,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,0
278bb23943ac4567883e3f005e87721e,10000064,10000064,10000078,七牛特招 10000078,0,0
279905cad32ce7c2f85634f9797093b0,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
27bd167ff32dca37f3e0f9fad0c484a6,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
27ea5680db3e99c8dbfee1114651b983,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
27f7a062991b28f737aedc1442ff0dc4,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
280fa4e8c686a2b7d1bdbfd98d31e821,10000294,10000294,1382680008,字节CDN专线 1382680008,0,0
281b3aa96cf8fe74aa5052001931c996,10000123,10000123,10000244,B站专线-盒子V2 10000244,0,0
2828cc3d29f15fb94a9f2f317a6d39cf,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,0
284a75b4169c21dc150e8ea8bda57b0c,10000064,10000064,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
28534230991e9c138b2aba65e2f1b7bc,10000088,10000088,10000224,字节CDN专线V4 10000224,0,0
286731f3c353788619b573a4c7105360,10000292,FQCDNV,10000292,七牛CDN-虚拟业务10000292 10000292,1,1
286aaeb363dd5532d2b7586178b07b3e,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
2876ab8f3c9b0cb70208fb81d01c3697,10000183,10000183,10000304,快手严选 10000304,0,0
28928cfd1723b7df21144d827cc5dee7,10000064,10000064,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
2895245403dc3d311f25bf0668a60f28,10000123,10000123,10000244,B站专线-盒子V2 10000244,0,0
2895b9b06e7f4a8ed2099560faf32e1f,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
289b01966237bf23807b80985b58cf60,10000069,10000069,10000292,七牛CDN-虚拟业务10000292 10000292,0,0
28b91d50c8aab18674437d477a600410,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
28bc4f5121f6c76adb498d5971e70831,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
28f554b0a4a3b3131f14409f63f6be52,10000122,10000122,10000244,B站专线-盒子V2 10000244,0,0
290a681dd8c92ea12ca89acbdd0c0db7,10000292,FQCDNV,10000244,B站专线-盒子V2 10000244,0,1
2913e23902d53bb59fd40e037aaca08a,1382490022,1382490022,10000069,腾讯汇聚P2P 10000069,0,0
2919d6b48c568388dba539343089fd2f,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
292e87497a97d7fbeada609933a9816b,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
29303718cee961ae529c2d92967c3fad,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
2940b129b907e39c1348e6dc554ac563,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
294936fb73263e74aa4ab4c351f9ce87,10000079,10000079,10000096,字节架构专线V3 10000096,0,0
2957459840f1aec85d22b265fa1f6c12,10000074,10000074,10000244,B站专线-盒子V2 10000244,0,1
2957460e31229a7bf2d29c1b6150f384,10000064,10000064,10000244,B站专线-盒子V2 10000244,0,0
296b61f2ad95041557b84fd2df1f0f7a,10000048,10000048,10000244,B站专线-盒子V2 10000244,0,0
29796b26edc6b908962f0348cb3d1e4c,10000304,10000304,10000096,字节架构专线V3 10000096,0,1
297feed1412c7760cce83386ee9e2e09,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
29b4093ad84d72ea4df7d2bacb87be68,10000304,10000304,10000304,快手严选 10000304,1,1
29b7681fb3df83789089ca9fb6bf540b,10000292,FQCDNV,10000304,快手严选 10000304,0,1
29bfc78fc1604e6cc1f8b8a12fa4299d,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,0
29c3c0245784bfa872f55a7e870a7456,10000294,10000294,10000034,优酷专线 10000034,0,0
29c9e75a0a144fdba40e2d115f2db245,10000292,FQCDNV,10000064,百度小度 10000064,0,1
29ee527f22e5b445b54f13139d74c37d,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
2a55e3b2aed221395785b17790f1efb2,10000294,10000294,1380460970,七牛CDN 1380460970,0,0
2a5e812e4b8dfd0f64becc0af4bddb8e,10000224,10000224,10000183,B站专线-盒子 10000183,0,1
2a8b9ad4d133b5b556ff6929a645bd03,10000000,10000000,1382649737,腾讯专线 1382649737,0,0
2a91e6a2ea346fcf525d7fd49b37e816,10000123,10000123,10000292,七牛CDN-虚拟业务10000292 10000292,0,1
2a921d219beeb61d6c7ff2b19f924155,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2a921d219beeb61de64ac1aa2005f156,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2a952240262093ad368a107967607cbc,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
2aa780042d2560fdeb1a44bf375ab6c0,10000183,10000183,10000096,字节架构专线V3 10000096,0,1
2ab56b6c49a603f927055f06111e1ee9,10000088,10000088,10000244,B站专线-盒子V2 10000244,0,0
2ac1053214ce7c13baa5675c2ba7a19e,10000123,10000123,10000244,B站专线-盒子V2 10000244,0,0
2ac4e1eb838c20c905b6ce8f5bafae3e,1380389889,1380389889,10000244,B站专线-盒子V2 10000244,0,0
2afcd45789ed910ab374333d0dbfae67,10000079,10000079,10000244,B站专线-盒子V2 10000244,0,1
2b0e2419b7091f2fbb3efec423d8f26b,10000304,10000304,10000244,B站专线-盒子V2 10000244,0,0
2b1c2b7381688f5e07e579f308613eee,10000123,10000123,10000244,B站专线-盒子V2 10000244,0,0
2b563f4a634206a3fe0c80a374d7df81,10000123,10000123,10000244,B站专线-盒子V2 10000244,0,0
2bcdf08db01cd9ef73d03a69e8899485,10000079,10000079,10000191,腾讯专线-80 10000191,0,0
2bd4c4f500d608ea61f1dd2c7af5f265,10000244,10000244,10000244,B站专线-盒子V2 10000244,1,1
2c21dd66aa5d27431eb8d4a39df63a54,10000292,FQCDNV,10000304,快手严选 10000304,0,1
2c398988bbdfa79d69a2e2543731baaa,10000064,10000064,10000069,腾讯汇聚P2P 10000069,0,0
2c7a5a753873fb51890a0309177fb5bf,10000294,10000294,10000304,快手严选 10000304,0,0
2c946a8cae4042a895bd9d3c77ee7742,10000292,FQCDNV,10000292,七牛CDN-虚拟业务10000292 10000292,1,1
2cc64a7b802fa1e22fd18cf605243d95,10000019,10000019,1381526443,爱奇艺 1381526443,0,0
