business,business_name,source,source_path
10000131,云算力in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000132,百度XCDN_V6,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000133,拉下行免费in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000134,上量科技in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000135,快手移动,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000136,济南联通in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000137,腾讯云主机,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000138,七牛买断,node_day_ops_wide,v1_business_name_map_superset.csv
10000139,百度小度盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000140,B站云主机,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000141,扬州电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000142,金山云主机V6_95,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000143,快手直播Light,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000144,联合网络济南in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000145,金牛墨声in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000146,远向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000147,字节80组网,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000148,定向Z,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000149,百度小度mini盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000150,金山晚高峰,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000151,定向A,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000152,快手点播V2,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000153,百度XCDN盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000154,腾讯点播80组网,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000155,斯锐德in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000156,百度快手电联,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000157,斯锐德in_Light,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000158,定向K,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000159,专项upB-out-单向,node_day_ops_wide,v1_business_name_map_superset.csv
10000160,专项upB-out-mini-单向,node_day_ops_wide,v1_business_name_map_superset.csv
10000161,大节点默认业务,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000162,定向M,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000163,字节云主机-1,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000164,江苏冬云电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000165,金满贯TX,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000166,聚宝盆ZJ,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000167,幸运赚QAE,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000168,千云电信单向in-宿迁,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000169,江苏千云电信-淮安in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000170,山东枣庄下行-联通in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000171,招财喵,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000172,SA,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000173,SA业务-爱奇艺盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000174,SA业务-爱奇艺mini盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000175,百度网盘专线,node_day_ops_wide,v1_business_name_map_superset.csv
10000176,友商资源交付-小草,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000177,百度网盘专线-ANT,node_day_ops_wide,v1_business_name_map_superset.csv
10000178,专项upB-out-micro-单向,node_day_ops_wide,v1_business_name_map_superset.csv
10000179,SA2,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000180,钛雾mini盒子,node_day_ops_wide_full,v1_business_name_map_superset.csv
10000181,江苏冬云电信单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000182,优云电信单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000183,B站专线-盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000184,江苏移动单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000185,小草盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000186,优酷直播专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000187,优酷直播专线Light,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000188,山东联通单向家aio-in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000189,山东联通单向专aio-in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000190,江苏镇江冬云电信城域网单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000191,腾讯专线-80,node_day_ops_wide,v1_business_name_map_superset.csv
10000192,湖南湘谷电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000193,优云电信单向in-台州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000194,江苏融仕恩移动in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000195,江苏融仕恩移动单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000196,优云电信单向in-嘉兴,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000197,天翼云V2,node_day_ops_wide,v1_business_name_map_superset.csv
10000198,Nat4专享,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000199,四川集泽电信in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000200,江苏移动琪筱昀in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000201,拉下行测试双向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000202,拉下行测试单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000203,汇聚买断,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000204,优云联通单向in-台州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000205,优云联通单向in-厦门,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000206,山东枣庄下行-联通二单向-in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000207,优云联通单向in-绍兴,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000208,优云联通单向in-嘉兴,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000209,优云联通单向in-湖州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000210,字节CDN汇聚V3,node_day_ops_wide,v1_business_name_map_superset.csv
10000211,集泽电信单向in-盐城,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000212,扬州移动单向in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000213,扬州移动in,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000214,江苏融仕恩移动单向in-南通独立C段,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000215,多虚机业务A,node_day_ops_wide,v1_business_name_map_superset.csv
10000216,优云电信单向in-咸阳,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000217,优云电信单向in-绍兴,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000218,优云电信单向in-常州,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000219,虚拟业务J,accept_rule_baseline_customer_name_map,/Users/rj/Desktop/superset/outputs/accept_rule_baseline_20260727/accept_rules_customer_name_map_20260727.json
10000220,核心交换机,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
