nodeid,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize,hardwaretype,os,arch
ant20836ce9bfb7e3d47a58ca8e36c27,82.69,4,2048076,118476672860,0,0,118476672860,,android,armeabi-v7a
ant2df91e8c82ccc325f8d9bf083b052,99.46,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant10c5243f8127708e2ed4decfc3566,500.0,8,16108992,1152232351333,0,1024242325913,127990025420,,linux,
ant28e447012dbcc301d8b3d9e6643eb,12.06,4,4003212,115491670589,0,0,115491670589,,android,armeabi-v7a
ant2107934ff29b63e31a29e501fcc57,81.31,4,1048576,5132485918,0,0,5132485918,,android,armeabi-v7a
ant2dfe95fb3ef633f649c5b982743d0,287.91,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant26969a6debb363412b44ebeec4077,6.12,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant2b94c55894425338d964ae6954bc5,23.54,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant2b6966ccc750431b4b5b0bac9ee79,99.37,4,1537836,4874787880,0,0,4874787880,,android,armeabi-v7a
ant26df37f0b198130e69ea7e40c04ff,185.86,4,2997872,39449274612,19724637306,0,19724637306,,android,armeabi-v7a
ant2319af6be4be93f078745b654aca3,70.01,4,1537836,4874787880,0,0,4874787880,,android,armeabi-v7a
ant218196dc2a39d38d883ccf6ae5996,394.21,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2ae5e7a95ef833a59b447bb5166d9,277.53,2,0,5465345884,0,0,5465345884,,android,armeabi-v7a
ant2a13085be71b1348fae56ae13595e,97.83,4,1964840,4896262717,0,0,4896262717,,android,armeabi-v7a
ant2a0f29756800535d1affe90bb3695,100.17,4,2060824,3629247365,0,0,3629247365,,android,armeabi-v7a
ant274cabcfeb8b3334c9a4d747c82bc,83.19,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2c76b50064423358aa2281fd3a46d,34.96,4,2494656,70899172638,15998753177,0,54900419461,,android,armeabi-v7a
ant28ca1b34d26043cd495ad086751c8,351.36,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant268ebeaed230a354daa51f6fd2b7e,95.88,4,1938832,27391153930,0,0,27391153930,,android,armeabi-v7a
ant25deb22b6c9063a5c805f1a850638,99.14,4,2055160,3704409292,0,0,3704409292,,android,armeabi-v7a
ant2eea85af261113d1f88d2789eb50b,372.84,4,4063504,5604932321,0,0,5604932321,,android,armeabi-v7a
ant28cba319231bc39329cb020a4b161,350.11,4,1048576,5057323991,0,0,5057323991,,android,armeabi-v7a
ant2ba95e7637c4d3c36ab77d101faf4,80.9,4,2058012,27358941675,0,0,27358941675,,android,armeabi-v7a
ant2c47c145ff0f5307299a808e53e3a,160.76,5,1941948,23847805911,0,0,23847805911,,android,armeabi-v7a
ce65fca64097ea78ef5883e81f5709ab,1500.0,36,57691716,4197042041651,0,4068193022771,128849018880,,linux,x86_64
9e31ee261dfe73fd305343704172b7f6,1000.0,24,32529020,2304572076850,0,2048484651826,256087425024,,linux,x86_64
ant24dceea028f6e373c818dc9296345,71.18,4,1048576,5282809774,0,0,5282809774,,android,armeabi-v7a
ant2d95e43e41b363019802f367ed8f9,424.72,4,4063504,5604932321,0,0,5604932321,,android,armeabi-v7a
ant2c7f15b47c7023dac8a9046745549,74.55,4,3880728,117875377438,61976378081,0,55898999357,,android,armeabi-v7a
ant2ca5c835527c9320e91bd07ccf980,334.23,4,997896,4928474972,0,0,4928474972,,android,armeabi-v7a
antdfec9ed870e2bdc6ccc419bad7a2e,91.56,2,4009908,85899345920,0,0,85899345920,,linux,
ant2e24e017aaeab3d8296b640127d9e,40.88,4,3743292,47727824076,0,0,47727824076,,android,armeabi-v7a
49d2c22128549845a62288aac4022181,220.0,4,8140832,536870912000,0,429496729600,107374182400,,linux,x86_64
ant299c3bcccb4c2389c9e82f6302f26,99.57,4,4003376,121450937712,0,0,121450937712,,android,armeabi-v7a
ant8703d9f9482743c4e8e55815c1814,454.06,4,7835968,256087425024,0,0,256087425024,,linux,
ant21cb0202b9d88374db762e0765671,73.61,4,1048576,4552665333,0,0,4552665333,,android,armeabi-v7a
ant2b29edf9213cf343ea1baeea4f77d,50.0,4,2097152,3865470566,0,0,3865470566,,android,armeabi-v7a
ant259d87b8b33f3325da309b42ddf17,55.57,4,1018096,5132485918,0,0,5132485918,,android,armeabi-v7a
ant4fd64ee81d7a6cbf786302d10666b,204.5,4,4002784,125090922496,0,0,125090922496,,linux,
ant6a90dbf99005db30bbcbb9e451f6c,50.0,2,2279328,139586437120,0,0,139586437120,,linux,x86_64
ant2d076a49efe6f3ade97c600641bc0,122.44,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant9d7756e17608c729f3f4602433996,100.0,4,3805640,752263521894,0,512174850048,240088671846,,linux,x86_64
ant2caa9b4293cce3add8af09af9d6c4,96.51,4,1313616,11177652387,0,0,11177652387,,android,armeabi-v7a
ant20fd36596e5213583b3e0150d2d71,64.59,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant20aaad2871546397ebde236372e4a,55.45,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2a5577aaa72db3d80aa01ffba1ccd,62.82,4,1016052,2458868776,0,0,2458868776,,android,armeabi-v7a
