pool_level,pool_key,business,business_name,daily_province,daily_isp,network_schedule_type,schedule_target_isp,as_of_day,history_days,valid_capacity_days,recent_forecast_days,recent_bandwidth_coverage,capacity_evidence_sufficient,capacity_confidence,capacity_state,target_utilization,forecast_peak95_mbps_p75,raw_capacity_ceiling_mbps,operational_capacity_ceiling_mbps,current_active_build_bandwidth_mbps,current_estimated_peak95_mbps,current_utilization,allocatable_headroom_mbps,oversupplied_bandwidth_mbps,median_utilization,low_utilization_day_share,median_low_utilization_node_share,median_platform_profit_per_build_mbps
business,10000065,10000065,B站专线-mp,,,,,2026-09-09,31,31,14,0.9976725132809188,True,high,接近目标,0.7,444538.99666082254,635055.7095154608,664000.0,664000.0,464166.0614001509,0.6990452731929984,0.0,28944.290484539237,0.7270354601777552,0.0,0.1538461538461538,0.0105948659139026
business,1380317970,1380317970,快手点播,,,,,2026-09-09,31,31,14,1.0,True,high,仍有容量,0.7,375326.272813,536180.3897328571,536180.3897328571,412883.0,284487.305077,0.6890264435130533,123297.38973285712,0.0,0.7416833892788003,0.0,0.1397058823529411,0.0097473956485912
business,10000034,10000034,优酷专线,,,,,2026-09-09,31,31,14,1.0,True,high,仍有容量,0.7,306199.9034845,437428.43354928575,437428.43354928575,392548.0,282809.150086,0.7204447611145642,44880.43354928575,0.0,0.6716439822210232,0.0,0.2272727272727272,0.0173338931869011
business,10000088,10000088,字节CDN汇聚V2,,,,,2026-09-09,31,31,14,1.0,True,high,仍有容量,0.7,181782.450793,259689.21541857143,259689.21541857143,215328.0,164068.920389,0.7619488426447095,44361.21541857143,0.0,0.7100911345737291,0.0,0.0389610389610389,0.0060620707304187
business,10000191,10000191,腾讯专线-80,,,,,2026-09-09,31,31,14,1.0,True,high,接近目标,0.7,157685.672236,225265.2460514286,225265.2460514286,207000.0,145661.31009,0.7036778265217392,18265.246051428607,0.0,0.6762576253962265,0.0,0.119047619047619,0.012440119760479
business,1381526443,1381526443,爱奇艺,,,,,2026-09-09,31,31,14,1.0,True,high,仍有容量,0.7,160022.5392,228603.62742857143,228603.62742857143,188084.0,124033.222024,0.6594565301886391,40519.62742857143,0.0,0.6208973573831695,0.0,0.3552631578947368,0.0128243050943933
business,10000000,10000000,腾讯汇聚直连,,,,,2026-09-09,31,31,14,1.0,True,high,仍有容量,0.7,145976.2696855,208537.5281221429,208537.5281221429,176630.0,142980.644863,0.8094924127441544,31907.52812214289,0.0,0.7932492512226034,0.0,0.0508474576271186,0.0076583185243349
business,10000064,10000064,百度小度,,,,,2026-09-09,31,31,14,1.0,True,high,建设带宽偏多,0.7,84328.2169155,120468.88130785715,127588.0,127588.0,77256.723564,0.605517161206383,0.0,7119.118692142845,0.6040764230378498,0.0,0.3458646616541353,0.004366366756063
business,10000003,10000003,百度XCDN,,,,,2026-09-09,31,31,14,0.9999509816416444,True,high,建设带宽偏多,0.7,47241.25753,67487.51075714287,72859.0,72859.0,50484.1748442332,0.6929023846639839,0.0,5371.489242857133,0.6819577524576322,0.0,0.125,0.0144034243732997
business,10000210,10000210,字节CDN汇聚V3,,,,,2026-09-09,25,25,8,0.9993463026880034,True,high,建设带宽偏多,0.7,4079.700526,5828.143608571429,38244.0,38244.0,15176.86310794564,0.3968429847282094,0.0,32415.85639142857,0.7788921383333334,0.12,0.0,0.0105874999999999
business,1382522065,1382522065,字节架构汇聚,,,,,2026-09-09,31,31,14,1.0,True,high,接近目标,0.7,26039.384194,37199.12027714286,37400.0,37400.0,24225.830284,0.6477494728342246,0.0,200.87972285714204,0.6477494728342246,0.0,0.2666666666666666,0.0160307901907356
business,10000041,10000041,B站Web盒子,,,,,2026-09-09,31,31,14,0.9993345358369004,True,high,建设带宽偏多,0.7,13022.143893750002,18603.062705357148,34690.0,34690.0,12201.340522313996,0.3517250078499278,0.0,16086.937294642852,0.3039178255826327,1.0,0.7205882352941176,0.0077638045163794
business,10000005,10000005,快手直播,,,,,2026-09-09,31,31,14,1.0,True,high,建设带宽偏多,0.7,6908.828938750001,9869.755626785716,12370.0,12370.0,8739.946852000001,0.7065438037186743,0.0,2500.244373214284,0.7443992102702702,0.0,0.0,0.0036734104046242
business,10000048,10000048,优酷汇聚,,,,,2026-09-09,31,31,14,1.0,True,high,仍有容量,0.7,5268.481431499999,7526.402045,7526.402045,6390.0,4545.596477,0.7113609510172144,1136.4020449999998,0.0,0.8777684913959612,0.0,0.0,0.0172265669925244
business,10000224,10000224,字节CDN专线V4,,,,,2026-09-09,21,21,10,0.9935897435897436,True,high,仍有容量,0.7,80922.17387325,115603.10553321429,115603.10553321429,3900.0,3611.0995044657534,0.9259229498630136,111703.10553321429,0.0,0.7847073798461538,0.0476190476190476,0.0416666666666666,0.0101349504950495
business,10000009,10000009,字节CDN汇聚,,,,,2026-09-09,10,10,10,1.0,True,medium,仍有容量,0.7,2015.47964775,2879.2566396428574,2879.2566396428574,0.0,,,2879.2566396428574,0.0,0.338339828,1.0,1.0,-0.001103
