node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,bw,os,arch,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize
ant27672b122941330e3a47eb709db92,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山东,联通,德州,droid.A,host,False,,0,,,,,,,,,
ant21be352eacce339cca204951d6391,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河北,电信,唐山,droid.A,host,False,,0,,,,,,,,,
ant21cb848aa2cb730f8b959e8772966,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,天津,电信,天津,droid.B,host,False,,0,,,,,,,,,
ant286f43b67a8e93393ae32440fb27f,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,北京,电信,北京,droid.A,host,False,,0,,,,,,,,,
ant25d69d7377f04356da87f69f75faf,36339,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河南,电信,南阳,droid.B,host,False,,0,,,,,,,,,
ant25ea683bdcf023054b1f0ef8034d9,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,云南,电信,曲靖,droid.B,host,False,,0,,,,,,,,,
ant28207914d9ab2348cb47a882dfada,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,江苏,联通,无锡,droid.B,host,False,,0,,,,,,,,,
926cf776b068fcd54a74516bf5ae1eb7,90460,dedicated,dedicated,staticNetCouple,public,,self,specified,陕西,移动,安康,jarvis.A,host,False,default,1000,,,,,,,,,
ant21520a6e556a9381993a7f6812424,54699,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山东,联通,德州,droid.B,host,False,,0,,,,,,,,,
ant23c8187039d9438beb067cf9aad0c,77385,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,黑龙江,电信,鸡西,droid.B,host,False,,0,android,armeabi-v7a,16.33,4.0,1015940.0,5637144576.0,0.0,0.0,5637144576.0
ant24cab3b00bc9935ae99515e88b243,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山西,联通,临汾,droid.B,host,False,,0,android,armeabi-v7a,73.5,4.0,1430492.0,27391153930.0,0.0,0.0,27391153930.0
ant25cd028661a37389f8904d8a37d00,52176,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江西,移动,新余,droid.B,host,False,,0,,,,,,,,,
71436701799e1c32fd42b36528e76e2b,73775,idc,dedicated,staticNetSingle,public,电信,self,specified,江苏,移动,南通,jarvis.A,host,False,default,10000,linux,x86_64,5000.0,80.0,65299780.0,8396553689494.0,0.0,7916483719984.0,480069969510.0
ant2149ee5160e7a3d88b6625f75227a,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江苏,联通,南京,droid.B,host,False,,0,,,,,,,,,
