node_id,top1_business,top1_pred_cost,top1_pred_profit,top1_profit_positive,top2_business,top2_pred_cost,top2_pred_profit,top2_profit_positive,top3_business,top3_pred_cost,top3_pred_profit,top3_profit_positive
ant209cff6423d0439f0a7c2a3f7b403,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant209e1ba100f3f3fbfb1d229d7b102,10000038,3.21,5.22,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
ant20a90b21adc3a301a83656e1bc909,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20b4b25530cd630e89b35b448040b,10000149,5.63,5.41,1,10000083,3.96,5.22,1,10000099,3.92,5.22,1
ant20b6611a273b2321caae1721a7005,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20bb6ca54b41833de84193deaf60b,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20bc26411357d3349a93ef7e1150a,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20c593a28630c35128db82388ce09,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20c72d529f51e3e468c4bd0599f06,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20cb115ab21703362af40f0cad404,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20ce6793c1562359abe9642ad1105,10000149,5.31,5.41,1,10000129,2.9,5.22,1,10000251,1.24,5.22,1
ant20cf6bfefec9c36e59b3ade897c03,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20d5000c50364399fa13b1d200508,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20d50fbfd85813083913fd24d1f0c,10000038,2.59,5.22,1,10000149,2.38,5.41,1,10000129,2.18,5.22,1
ant20d82838784e93d8da3edde6bdd01,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
ant20e0c75cd6e2c302fb7090d333109,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
